epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,3093.19,1.18781,1.03106,1.37289,0.66431,0.71561,0.72607,0.41252,1.57285,1.21716,1.72991,0.0002575,0.0002575,0.0002575
77,3134.33,1.18122,1.02737,1.36983,0.70384,0.65693,0.717,0.40576,1.56701,1.23952,1.71838,0.0002476,0.0002476,0.0002476
78,3174.68,1.16745,1.01709,1.36787,0.67537,0.69433,0.73601,0.41808,1.55183,1.19489,1.68791,0.0002377,0.0002377,0.0002377
79,3217.11,1.1588,1.01359,1.35796,0.61206,0.71794,0.72724,0.41676,1.56917,1.21543,1.70361,0.0002278,0.0002278,0.0002278
80,3258.98,1.17202,1.01356,1.37139,0.66836,0.69647,0.73071,0.40669,1.57607,1.20767,1.71332,0.0002179,0.0002179,0.0002179
81,3300.23,1.15618,0.99487,1.35967,0.72362,0.67773,0.74233,0.41294,1.57429,1.19273,1.7057,0.000208,0.000208,0.000208
82,3341.98,1.15615,0.98953,1.35014,0.70734,0.70461,0.73556,0.41938,1.54973,1.19649,1.70265,0.0001981,0.0001981,0.0001981
83,3382.68,1.15065,0.96657,1.34828,0.69694,0.68799,0.73814,0.42432,1.55478,1.17811,1.71047,0.0001882,0.0001882,0.0001882
84,3423.24,1.15462,0.98153,1.36237,0.66499,0.71044,0.74001,0.42188,1.56363,1.18415,1.71048,0.0001783,0.0001783,0.0001783
85,3463.9,1.14349,0.98304,1.34693,0.68091,0.69874,0.7426,0.42803,1.55988,1.17063,1.71672,0.0001684,0.0001684,0.0001684
86,3504.61,1.1272,0.9434,1.32595,0.686,0.6989,0.73995,0.42335,1.58258,1.18326,1.71817,0.0001585,0.0001585,0.0001585
87,3546.28,1.12297,0.9604,1.33996,0.69633,0.7082,0.74402,0.42324,1.5716,1.15082,1.72509,0.0001486,0.0001486,0.0001486
88,3586.16,1.12908,0.94833,1.33346,0.68485,0.70037,0.74238,0.42064,1.56176,1.18108,1.71196,0.0001387,0.0001387,0.0001387
89,3625.85,1.10484,0.93762,1.32538,0.68324,0.69598,0.73373,0.42045,1.56144,1.17286,1.71224,0.0001288,0.0001288,0.0001288
90,3665.79,1.10341,0.92459,1.32351,0.69904,0.69498,0.73236,0.42203,1.56126,1.15531,1.71492,0.0001189,0.0001189,0.0001189
91,3704.68,1.11089,0.88361,1.35525,0.67453,0.70842,0.73557,0.41374,1.58734,1.17062,1.74988,0.000109,0.000109,0.000109
92,3742.98,1.0787,0.84608,1.33894,0.71817,0.69726,0.74546,0.41939,1.58654,1.16513,1.75345,9.91e-05,9.91e-05,9.91e-05
93,3781.55,1.07842,0.82586,1.33481,0.67218,0.69278,0.73257,0.41389,1.58365,1.16923,1.74558,8.92e-05,8.92e-05,8.92e-05
94,3821.4,1.04918,0.8022,1.31151,0.70786,0.70216,0.74614,0.42353,1.55753,1.15769,1.73077,7.93e-05,7.93e-05,7.93e-05
95,3860.99,1.03062,0.79224,1.3109,0.69562,0.7067,0.74861,0.42333,1.57851,1.14719,1.75105,6.94e-05,6.94e-05,6.94e-05
96,3899.84,1.02414,0.77707,1.31112,0.71533,0.6911,0.74588,0.42414,1.56477,1.1604,1.74569,5.95e-05,5.95e-05,5.95e-05
97,3939.04,1.02008,0.77174,1.29438,0.74115,0.67211,0.74982,0.42979,1.55668,1.15836,1.73825,4.96e-05,4.96e-05,4.96e-05
98,3978.55,1.01134,0.75115,1.29962,0.73889,0.68666,0.7468,0.42716,1.58149,1.16134,1.75819,3.97e-05,3.97e-05,3.97e-05
99,4018.23,0.99746,0.75576,1.28656,0.73947,0.689,0.74352,0.41925,1.58496,1.16371,1.761,2.98e-05,2.98e-05,2.98e-05
100,4059.11,0.99552,0.73771,1.28006,0.73327,0.67585,0.74329,0.42657,1.57112,1.15512,1.74365,1.99e-05,1.99e-05,1.99e-05
